BEGIN,semantic_dissimilarity,type_of_words,word
89082,0.5,function,Una
102753,0.6727859377861023,content,viola
124362,0.5446403622627258,function,al
133182,0.5248609185218811,content,polo
149058,0.3987143933773041,content,Nord
246078,0.4496240615844726,function,Una
258426,0.4006945788860321,content,mattina
298116,0.290406584739685,function,al
308259,0.3871312737464905,content,Polo
320607,0.3133256733417511,content,Nord
354123,0.3152633309364319,function,l'
358533,0.4155977368354797,content,orso
371322,0.3889020681381225,content,bianco
392710,0.4716124832630157,content,fiutò
407043,0.3787490725517273,function,nell'
418950,0.4239994287490845,content,aria
432621,0.293828010559082,function,un
439677,0.3793284893035888,content,odore
452466,0.3769362568855285,content,insolito
501417,0.3342453241348266,function,e
502740,0.3500270843505859,function,lo
511560,0.3618620634078979,content,fece
523467,0.3833314776420593,content,notare
542430,0.3279044926166534,function,all'
548604,0.5000759363174438,content,Orsa
563598,0.5052649974822998,content,Maggiore
616959,0.4017573595046997,function,la
624456,0.4121142625808716,content,minore
639450,0.3662782311439514,function,era
650034,0.4349799156188965,function,sua
661059,0.4602018296718597,content,figlia
723680,0.5176804065704346,function,Che
725802,0.3789494633674621,function,sia
735588,0.3877591490745544,content,arrivata
752346,0.3980752825736999,function,qualche
764253,0.427613765001297,content,spedizione
859950,0.4624437987804413,function,Furono
871416,0.3806278705596924,content,invece
886410,0.3168118000030517,function,gli
889938,0.5037102699279785,content,orsacchiotti
944622,0.4039700031280517,function,a
948150,0.3900987505912781,content,trovare
965349,0.3284889459609985,function,la
971964,0.3950487077236175,content,viola
1052226,0.3595550060272217,function,Era
1061928,0.3043348789215088,function,una
1069866,0.3527413010597229,content,piccola
1090593,0.4200076162815094,content,violetta
1112643,0.4481596052646637,content,mammola
1154097,0.3694503903388977,function,e
1156743,0.3990096151828766,content,tremava
1177029,0.4353780150413513,function,di
1184526,0.4085262417793274,content,freddo
1227303,0.3386958837509155,function,ma
1234800,0.3874334692955017,content,continuava
1263465,0.4228388965129852,content,coraggiosamente
1304478,0.3626893162727356,function,a
1309329,0.3851676881313324,content,profumare
1337112,0.3680952787399292,function,l'
1339317,0.3683200478553772,content,aria
1372392,0.3774701356887817,function,perché
1386063,0.3970430493354797,function,quello
1411200,0.3607270717620849,function,era
1423107,0.4076625108718872,function,il
1431486,0.368065595626831,function,suo
1440747,0.3620666861534118,content,dovere
1541295,0.537115216255188,content,Prima
1555407,0.5121304988861084,function,di
1562904,0.4984474182128906,content,sera
1593333,0.3786399364471435,function,si
1604799,0.4850783348083496,content,sparse
1625526,0.426507830619812,function,per
1632141,0.4144580960273742,function,tutto
1644930,0.372547447681427,function,il
1652868,0.5230321884155273,content,Polo
1663893,0.3320057988166809,function,la
1669626,0.3997703492641449,content,notizia
1726074,0.3492509722709656,function,un
1736217,0.4665675163269043,content,piccolo
1761795,0.4279662370681762,content,strano
1787664,0.3724106550216675,function,essere
1808982,0.4022421240806579,content,profumato
1850877,0.3873679637908935,function,di
1855728,0.4553053975105285,content,colore
1881747,0.3894905149936676,content,violetto
1931580,0.3471453189849853,function,era
1938636,0.3705571889877319,content,apparso
1964214,0.3171037435531616,function,nel
1972152,0.408302903175354,content,deserto
1998171,0.3829944729804992,function,di
2004345,0.3637989461421966,content,ghiaccio
2050085,0.2958829998970032,function,si
2057265,0.3911358714103699,content,reggeva
2075346,0.4106351733207702,function,su
2083284,0.380705177783966,function,una
2089017,0.4221702218055725,content,sola
2106657,0.4605401456356048,content,zampa
2141055,0.2913250923156738,function,e
2142378,0.2809544801712036,content,non
2152080,0.2616253495216369,function,si
2158695,0.3500684201717376,content,muoveva
2254392,0.4995744228363037,function,A
2258361,0.4472391605377197,content,vedere
2270268,0.3871431350708008,function,la
2277765,0.5126845240592957,content,viola
2309076,0.4563085436820984,function,vennero
2335095,0.4455994069576263,content,foche
2363319,0.3312628269195556,function,e
2365965,0.4325191676616668,content,trichechi
2421090,0.422750174999237,content,vennero
2442258,0.4324477314949035,function,dalla
2453283,0.4756087362766266,content,Siberia
2477097,0.278414249420166,function,le
2484130,0.3091647922992706,content,renne
2520756,0.3998013436794281,function,dall'
2530899,0.3914947509765625,content,America
2556036,0.2866585850715637,function,i
2560005,0.3438668549060821,content,buoi
2571912,0.3826400637626648,content,muschiati
2631447,0.3115158081054687,function,e
2639826,0.4722280502319336,content,più
2646882,0.4683572053909302,function,di
2653497,0.4171270728111267,content,lontano
2676429,0.3965858817100525,content,ancora
2708181,0.3501262366771698,content,volpi
2731554,0.3075318932533264,content,bianche
2783592,0.3239819407463074,content,lupi
2815785,0.2411155700683593,function,e
2817990,0.3644161820411682,content,gazze
2838276,0.369764506816864,content,marine
2904867,0.4677286744117737,function,Tutti
2916774,0.4270582199096679,content,ammiravano
2941911,0.348476231098175,function,il
2948085,0.4471376538276672,content,fiore
2956905,0.3899976909160614,content,sconosciuto
3016881,0.3701901435852051,function,il
3025701,0.3948644995689392,function,suo
3031875,0.4445912837982178,content,stelo
3051279,0.3992897272109985,content,tremante
3130218,0.3445892930030823,function,tutti
3143007,0.3315186500549316,content,aspiravano
3180051,0.2492333650588989,function,il
3188430,0.3605784177780151,function,suo
3196368,0.3518798649311065,content,profumo
3266487,0.3293052911758423,function,ma
3273543,0.4657834768295288,function,ne
3277512,0.3574090898036957,content,restava
3297798,0.3611897826194763,content,sempre
3319848,0.4485740065574646,content,abbastanza
3356892,0.3988851904869079,function,per
3363066,0.3834011554718017,function,quelli
3378501,0.3402819037437439,function,che
3385557,0.3539005219936371,content,arrivavano
3412912,0.434269905090332,content,ultimi
3433185,0.3882115483283996,function,ad
3438036,0.3401504755020141,content,annusare
3489633,0.3617012500762939,function,ne
3496248,0.319941908121109,content,restava
3519180,0.3124751448631286,content,sempre
3542994,0.4443288445472717,function,come
3557547,0.4332911074161529,content,prima
3641778,0.5260690450668335,function,Per
3647511,0.4836243391036987,content,mandare
3664269,0.4361310005187988,function,tanto
3678822,0.3850955367088318,content,profumo
3719835,0.4552949070930481,content,disse
3738798,0.4162812829017639,function,una
3751146,0.4562176167964935,content,foca
3800979,0.393486738204956,function,deve
3811122,0.350418210029602,content,avere
3824352,0.3365299105644226,function,una
3831849,0.3901497721672058,content,riserva
