BEGIN,semantic_dissimilarity,type_of_words,word
99048.6,0.5847604274749756,content,Arrabbiato
144030.6,0.4675191640853882,function,come
157128.3,0.3833306431770324,function,un
164360.7,0.392070859670639,content,orso
263453.4,0.4815505743026733,content,Flora
286650.0,0.3770515918731689,content,torna
306230.4,0.4514562487602234,function,dal
314080.2,0.3504922986030578,content,mercato
379921.5,0.3800110220909118,content,trascina
403206.3,0.3413850665092468,function,le
412202.7,0.3630977869033813,content,zampe
455244.3,0.2928222417831421,function,e
458904.6,0.2964847683906555,content,ha
464549.4,0.3339288234710693,function,il
472619.7,0.3870256543159485,content,naso
487349.1,0.3968036472797394,function,all'
559629.0,0.3900742530822754,content,ingiù
562451.4,0.3168148398399353,function,È
636230.7,0.3985031843185425,content,imbronciata
650519.1,0.3189195394515991,function,perché
657663.3,0.333813726902008,function,la
667012.5,0.3767030835151672,function,sua
698367.6,0.419789969921112,content,mamma
706746.6,0.3595392107963562,function,non
717551.1000000001,0.3313575983047485,function,le
742423.5,0.3359953761100769,function,ha
744760.8,0.3594377040863037,content,comprato
774704.7,0.3742687106132507,function,i
779688.0,0.4458904266357422,content,lecca-lecca
809720.1,0.3972798585891723,content,al
816643.8,0.3915959596633911,function,miele
845573.4,0.4146921634674072,content,che
909342.0,0.3706026077270508,function,desiderava
920058.3,0.3796149492263794,content,tanto
941579.1,0.3758153915405273,function,Ora
946518.3,0.4628205597400665,function,brontola
1034233.2,0.3918867707252502,content,in
1045214.1,0.3899754881858825,function,giardino
1052005.5,0.4951206743717193,content,Tutt'
1069425.0,0.4409907460212707,function,a
1092357.0,0.3907034397125244,function,un
1135751.4,0.3962106704711914,function,tratto
1144042.2,0.3651741147041321,content,spunta
1161064.8,0.4132679998874664,content,Adele
1208251.8,0.384826123714447,content,la
1211603.4,0.407946228981018,function,piccola
1236475.8,0.4158868789672851,content,ape
1238857.2,0.3360940217971802,content,e
1266243.3,0.3676812648773193,function,invita
1271314.8,0.3043457269668579,content,l'
1352767.5,0.3668274283409118,function,orsetta
1378389.6,0.3490606546401977,content,a
1386371.7,0.3761006593704223,function,giocare
1412434.8,0.4264514446258545,content,Danza
1436601.6,0.3495751619338989,content,e
1468971.0,0.3597322106361389,function,ronza
1478981.7,0.3678877353668213,content,vicino
1494196.2,0.3632099330425262,function,all'
1546322.4,0.410377025604248,function,orecchio
1552628.7,0.2915694117546081,content,della
1593244.8,0.3459165692329407,function,sua
1600830.0,0.3678642213344574,function,amica
1616617.8,0.3123969435691833,content,che
1622835.9,0.3845980763435364,function,invece
1708786.8,0.2772483825683594,function,la
1725236.1,0.3172098398208618,function,guarda
1733615.1,0.3910976052284241,content,di
1782345.6,0.4064197540283203,function,traverso
1786887.9,0.4478434026241302,content,Adele
1808629.2,0.2572936415672302,content,si
1812951.0,0.379561185836792,function,stufa
1832663.7,0.3507696390151977,content,e
1884878.1,0.3435149788856506,function,decide
1939077.0,0.3214174509048462,content,di
1952351.1,0.4378217458724975,function,volare
1974357.0,0.4462896585464477,content,via
2016693.0,0.4756488800048828,function,Aspettami
2053251.9,0.4005089998245239,content,dice
2061366.3,0.4142693281173706,content,infine
2092897.8,0.4277527034282684,function,Flora
2100438.9,0.3922924399375915,content,seguendola
2121959.7,0.3680831789970398,content,di
2129589.0,0.3972329497337341,function,corsa
2216554.2,0.3397243022918701,content,in
2226917.7,0.4347599148750305,function,fondo
2245086.9,0.347984254360199,content,al
2289848.4,0.3824734985828399,function,giardino
2311060.5,0.3929529190063476,content,Ma
2315073.6,0.4207032918930053,function,proprio
2342283.3,0.3540783226490021,function,lì
2346605.1,0.3307509422302246,function,vede
2384354.7,0.3596165478229522,content,l'
2401597.8,0.4639864861965179,function,alveare
2418311.7,0.3494817614555359,content,di
2422280.7,0.4792826771736145,function,Adele
2487636.9,0.3701491355895996,content,pieno
2502366.3,0.4193118214607239,content,zeppo
2508672.6,0.3196919560432434,content,di
2515287.6,0.3316813707351684,function,miele
2518859.7,0.390492707490921,content,Flora
2544217.2,0.3275788426399231,content,ha
2553742.8,0.3958390355110168,content,già
2586817.8,0.3964353799819946,function,l'
2589948.9,0.396722674369812,function,acquolina
2607103.8,0.410193920135498,content,in
2631711.6,0.3256314992904663,function,bocca
2638326.6,0.3695634007453918,content,e
2669373.0,0.4013692736625671,function,senza
2675502.9,0.4894749522209167,function,pensarci
2690408.7,0.5129010677337646,content,due
2703947.4,0.3718144297599792,,volte
2711753.1,0.4176844358444214,content,vi
2791221.3,0.3503653407096863,function,tuffa
2798586.0,0.3944461345672607,content,dentro
2819577.6,0.3203462362289428,function,la
2828662.2,0.4065930247306824,function,zampetta
2839202.1,0.3300608396530151,content,La
2852432.1,0.448671817779541,function,piccola
2861119.8,0.4820886254310608,content,ape
2870777.7,0.326688289642334,content,non
2911217.4,0.3564205765724182,function,crede
2914304.4,0.3806033134460449,content,alle
2940632.1,0.3644001483917236,function,sue
2977808.4,0.4317474961280823,function,antenne
2985570.0,0.3853797912597656,content,e
2989715.4,0.3898793756961822,function,furiosa
2996109.9,0.3754642903804779,content,grida
3018600.9,0.4750240445137024,content,Non
3023848.8,0.4015184640884399,function,hai
3041577.0,0.4380732774734497,content,il
3045810.6,0.4256095290184021,function,diritto
3054939.3,0.3371999859809875,content,di
3105918.9,0.3487933278083801,function,prendere
3129997.5,0.3325796723365783,content,il
3149533.8,0.386981725692749,function,mio
3153723.3,0.3878541588783264,function,miele
3160911.6,0.4196886122226715,content,Smettila
3238792.2,0.3255338668823242,content,subito
3249993.6,0.4282076954841614,function,o
3256873.2,0.3396626710891723,function,ti
3275395.2,0.4020425081253052,function,pungerò
3281569.2,0.4973084330558777,content,Non
3297842.1,0.3787219524383545,function,è
3334445.1,0.3896737098693847,function,carino
3365535.6,0.3852657079696655,content,da
3402006.3,0.4528262615203857,function,parte
3419381.7,0.422940045595169,content,tua
3435213.6,0.5336984395980835,function,piagnucola
3507537.6,0.4724466800689697,content,Flora
3530954.7,0.4378610253334045,content,mentre
3539466.0,0.4491718411445617,function,corre
3582639.9,0.4011410772800445,content,via
3591459.9,0.4515239894390106,function,Arrivata
3610775.7,0.3924795389175415,content,a
3615759.0,0.3509761691093445,function,casa
3623167.8,0.2736034393310547,content,si
3641072.4,0.3431954979896545,function,getta
3650598.0,0.3484736680984497,content,tra
3682570.5,0.3309330344200134,function,le
3706428.6,0.4084952473640442,function,braccia
3710397.6,0.2918390035629272,content,della
3783515.4,0.3218468725681305,function,mamma
3798024.3,0.3883883059024811,content,piangendo
3813944.4,0.3757715225219726,content,a
3822411.6,0.3746842443943023,function,dirotto
3833745.3,0.4052188396453857,content,Mamma
3843050.4,0.498738020658493,content,orsa
3848077.8,0.2480495572090149,content,si
3860117.1,0.3719877004623413,function,china
3870524.7,0.3499226570129394,content,su
3944480.4,0.3057334423065185,function,di
3957093.0,0.2607488632202148,function,lei
3986375.4,0.3052170872688293,function,per
4036428.9,0.3377885222434997,function,consolarla
4041103.5,0.5332212448120117,content,Cosa
4056626.7,0.439786285161972,function,succede
4065314.4,0.4322518408298492,content,piccola
4074884.1,0.3490393161773681,content,Ma
4138520.4,0.3555249869823456,function,Flora
4175211.6,0.319685697555542,content,non
4181738.4,0.3016049861907959,function,si
4185045.9,0.358392059803009,function,calma
4202289.0,0.4361597001552582,content,Adele
4214504.699999999,0.3663697838783264,content,Non
4221604.8,0.3633985519409179,function,ha
4228660.8,0.4040429592132568,function,voluto
4232629.8,0.410760223865509,function,darmi
4272716.7,0.3656949996948242,content,un
4280169.6,0.4259462058544159,function,po'
4331193.3,0.3321757912635803,function,di
4341115.8,0.43547323346138,function,miele
4348215.9,0.4213640093803406,content,si
4381643.7,0.4163597822189331,function,lamenta
4429668.6,0.4159403443336487,content,Oh
4441884.3,0.3412849903106689,function,mi
4448675.7,0.3619850277900696,function,dispiace
4470637.5,0.3980466723442077,content,tesoro
4476502.8,0.4318789839744568,content,Cosa
4493040.3,0.5205779075622559,function,ne
4499523.0,0.4563447833061218,function,diresti
4529466.9,0.3265507221221924,content,di
4543049.7,0.3592859506607055,function,provare
4554471.6,0.3323878049850464,content,a
4616520.300000001,0.3984450399875641,function,calmarti
4621371.300000001,0.362250804901123,content,nella
4636585.8,0.3489958643913269,function,tua
4655725.2,0.4989417493343353,function,tana
4659914.7,0.4035653471946716,content,La
4725447.3,0.4201794862747192,function,mamma
4727784.600000001,0.3919571042060852,content,inizia
4767386.4,0.3803291320800781,content,a
4775544.9,0.409725934267044,function,canticchiare
4794507.899999999,0.335252583026886,content,e
4816734.3,0.4149699807167053,function,Flora
4849544.7,0.2533798217773437,content,si
4855277.7,0.3579316139221191,function,lascia
4867228.8,0.427115261554718,content,guidare
4915915.2,0.3467316031455993,content,dolcemente
4923941.399999999,0.3414019346237182,function,al
4939993.8,0.3179648518562317,function,suo
4969055.7,0.3518372774124145,function,lettino
4989121.2,0.2539296746253967,content,e
4995736.2,0.3436015248298645,function,piano
5086846.8,0.3163102865219116,function,piano
5103869.399999999,0.3029435276985168,function,smette
5111807.4,0.320560097694397,content,di
5124111.3,0.332370400428772,function,piangere
5187527.1,0.4658474028110504,content,Adele
5201286.3,0.3973007202148437,content,non
5205299.4,0.3543913960456848,function,è
5209974.0,0.3559734225273132,function,cattiva
5217294.6,0.3837823867797851,content,quello
5253280.2,0.341918408870697,function,è
5256367.199999999,0.3423070907592773,function,il
5272507.800000001,0.3074390888214111,function,suo
5296410.0,0.3197487890720367,function,miele
5303245.5,0.271314799785614,content,ha
5370101.1,0.337832510471344,function,solo
5389593.3,0.2675666213035583,function,cercato
5394885.3,0.3171396851539612,content,di
5415171.300000001,0.3942228555679321,function,difendersi
5423462.1,0.4642065763473511,content,spiega
5437353.600000001,0.3861817717552185,content,la
5514087.6,0.4483620524406433,function,mamma
5526788.4,0.4092425107955932,content,con
5532962.4,0.4001516699790954,function,voce
5552719.2,0.3843499422073364,content,tenera
5573269.8,0.5021235942840576,content,Ora
5583589.2,0.4365426301956177,function,che
5591968.2,0.4048020839691162,function,siamo
5623367.399999999,0.3827048540115356,function,qui
5648901.3,0.3904963731765747,function,io
5650577.1,0.3910611867904663,function,e
5681623.5,0.3275202810764313,function,te
5692824.9,0.3662127256393432,function,proviamo
5700454.2,0.3316401839256286,content,a
5734543.5,0.3147260546684265,function,fare
5819524.199999999,0.3111587166786194,content,un
5826580.2,0.3457584977149963,function,bel
5849909.100000001,0.4238027334213257,content,respiro
5881131.9,0.4816139638423919,content,profondo>
5884748.100000001,0.4219042956829071,content,La
5912001.899999999,0.451758861541748,function,signora
5946620.399999999,0.4794421195983886,content,Rabbia
5955660.9,0.3393025398254394,content,è
5966818.199999999,0.3740751147270202,function,uscita
6014446.2,0.3725975751876831,content,completamente
6027279.3,0.422319233417511,function,dal
6046065.899999999,0.3499633073806762,function,tuo
6105512.7,0.4234107136726379,function,cuore
6118389.9,0.50439453125,content,chiede
6134221.800000001,0.4233790636062622,content,mamma
6140219.4,0.4209274351596832,content,orsa
6215806.800000001,0.4488527774810791,content,Flora
6224406.3,0.4452628791332245,content,scuote
6261141.6,0.3766669034957886,content,la
6284205.899999999,0.3494262099266052,function,testa
6294216.6,0.2790907025337219,content,La
6309431.1,0.3067363500595093,function,mamma
6334171.2,0.3299311995506286,content,allora
6385106.7,0.3194172382354736,function,ha
6406318.8,0.4298291206359863,content,un'
6411743.1,0.4067429900169372,function,altra
6427971.899999999,0.3657710254192352,content,idea
6445920.6,0.5326409339904785,content,Ti
6458092.2,0.5408581495285034,function,andrebbe
6465589.2,0.3810993432998657,content,di
6490858.5,0.4112528264522552,function,soffiare
6502721.4,0.3941945433616638,content,nel
6515863.2,0.4692348837852478,function,Tubo
6521728.5,0.4026896953582763,content,della
6603622.199999999,0.4544208347797394,function,Rabbia
6617469.600000001,0.3842124938964844,content,perché
6625187.1,0.3844305276870727,function,voli
6639210.9,0.4051099419593811,content,via
6643709.100000001,0.3893309533596039,function,lontano
6651470.7,0.4279758036136627,function,Flora
6692792.4,0.3884785175323486,content,fa
6695306.1,0.5160754919052124,content,sì
6700686.300000001,0.4304391145706177,function,con
6716121.300000001,0.3879011869430542,function,la
6722736.300000001,0.4033365845680237,function,testa
6739273.800000001,0.3409011960029602,content,e
6748887.6,0.296943724155426,function,la
6816669.300000001,0.3840457201004028,function,mamma
6818697.9,0.3760088086128235,content,le
6849479.7,0.4084733724594116,function,porge
6896313.899999999,0.2928997278213501,content,il
6909499.8,0.3343817293643951,function,tubo
6921186.300000001,0.3337152898311615,content,L'
6990335.1,0.437169462442398,function,orsetta
7005770.1,0.3253833651542663,content,soffia
7020808.2,0.321525514125824,content,e
7049208.600000001,0.3664323091506958,function,poi
7060498.2,0.2981985211372375,function,sorride
7079417.100000001,0.3170528411865234,content,posa
7082504.1,0.2591104507446289,content,il
7104377.7,0.3335373401641845,function,tubo
7190460.9,0.2536942958831787,content,e
7205454.9,0.2926259636878967,function,torna
7213084.2,0.3123483061790466,content,a
7230503.699999999,0.3278886079788208,function,farsi
7259168.7,0.3639918267726898,content,coccolare
7265298.600000001,0.3923033773899078,content,Flora
7283644.2,0.2552791833877563,content,si
7315969.5,0.3314621448516845,function,sente
7322143.5,0.330116331577301,content,meglio
7341547.5,0.2569238543510437,function,la
7407785.7,0.4044300317764282,function,signora
7417487.7,0.4418628811836242,content,Rabbia
7426131.3,0.2641672492027282,content,è
7441345.8,0.3708888292312622,function,volata
7445358.9,0.3690260350704193,content,via
7451929.800000001,0.5301374793052673,function,Cosa
7461190.8,0.5578615665435791,function,ne
7479580.5,0.5008710622787476,function,dici
7482270.6,0.3964285254478454,content,di
7503879.600000001,0.3581342101097107,function,un
7511376.6,0.3469706773757934,function,buon
7555917.600000001,0.4112196564674377,content,gelato
7576291.8,0.4198295474052429,content,al
7581848.4,0.3901950716972351,function,miele
7642265.4,0.3981068134307861,content,per
7658626.5,0.4578359127044678,function,merenda
7680367.8,0.4783564209938049,content,propone
7685483.4,0.354181170463562,content,la
7714324.8,0.3753198385238647,function,mamma
