BEGIN,entropy,type_of_words,word
99048.6,9.437172889709473,content,Arrabbiato
144030.6,7.197361946105957,function,come
157128.3,10.401192665100098,function,un
164360.7,7.683345317840576,content,orso
263453.4,7.73015022277832,content,Flora
286650.0,9.179261207580566,content,torna
306230.4,5.772756576538086,function,dal
314080.2,7.610401153564453,content,mercato
379921.5,8.640945434570312,content,trascina
403206.3,6.342069149017334,function,le
412202.7,7.418507099151611,content,zampe
455244.3,6.412509441375732,function,e
458904.6,7.716726303100586,content,ha
464549.4,7.019575595855713,function,il
472619.7,7.04573917388916,content,naso
487349.1,4.682162761688232,function,all'
559629.0,4.191173553466797,content,ingiù
562451.4,8.141241073608398,function,È
636230.7,4.639656066894531,content,imbronciata
650519.1,5.356841087341309,function,perché
657663.3,7.764974117279053,function,la
667012.5,8.14746379852295,function,sua
698367.6,8.92355728149414,content,mamma
706746.6,5.841017723083496,function,non
717551.1000000001,5.172603607177734,function,le
742423.5,6.77701473236084,function,ha
744760.8,7.5570902824401855,content,comprato
774704.7,4.676555156707764,function,i
779688.0,6.8909783363342285,content,lecca-lecca
809720.1,6.020844459533691,content,al
816643.8,7.883198261260986,function,miele
845573.4,3.9142911434173584,content,che
909342.0,5.752655506134033,function,desiderava
920058.3,4.958100318908691,content,tanto
941579.1,7.698241710662842,function,Ora
946518.3,5.752150535583496,function,brontola
1034233.2,6.200991153717041,content,in
1045214.1,6.31070613861084,function,giardino
1052005.5,5.665647029876709,content,Tutt'
1069425.0,3.114450454711914,function,a
1092357.0,9.095832824707031,function,un
1135751.4,8.907678604125977,function,tratto
1144042.2,6.622477054595947,content,spunta
1161064.8,6.014225482940674,content,Adele
1208251.8,8.87348461151123,content,la
1211603.4,8.959038734436035,function,piccola
1236475.8,8.140006065368652,content,ape
1238857.2,7.960707664489746,content,e
1266243.3,7.959523677825928,function,invita
1271314.8,3.1688263416290283,content,l'
1352767.5,4.110241889953613,function,orsetta
1378389.6,5.099977016448975,content,a
1386371.7,6.651346206665039,function,giocare
1412434.8,6.185306072235107,content,Danza
1436601.6,8.680390357971191,content,e
1468971.0,6.830519676208496,function,ronza
1478981.7,7.1213226318359375,content,vicino
1494196.2,2.4717583656311035,function,all'
1546322.4,6.812376022338867,function,orecchio
1552628.7,4.189846515655518,content,della
1593244.8,6.882692337036133,function,sua
1600830.0,4.938582420349121,function,amica
1616617.8,8.200529098510742,content,che
1622835.9,7.174276351928711,function,invece
1708786.8,6.398171901702881,function,la
1725236.1,8.155767440795898,function,guarda
1733615.1,7.053679943084717,content,di
1782345.6,5.7218017578125,function,traverso
1786887.9,3.947010755538941,content,Adele
1808629.2,7.2792158126831055,content,si
1812951.0,4.612926006317139,function,stufa
1832663.7,5.08454704284668,content,e
1884878.1,7.593000888824463,function,decide
1939077.0,1.7047083377838137,content,di
1952351.1,8.249276161193848,function,volare
1974357.0,4.251903533935547,content,via
2016693.0,7.288171291351318,function,Aspettami
2053251.9,7.816765785217285,content,dice
2061366.3,7.3366193771362305,content,infine
2092897.8,3.5004377365112305,function,Flora
2100438.9,4.180075168609619,content,seguendola
2121959.7,5.785281658172607,content,di
2129589.0,9.127958297729492,function,corsa
2216554.2,4.472483158111572,content,in
2226917.7,7.491119861602783,function,fondo
2245086.9,4.8970441818237305,content,al
2289848.4,4.005183696746826,function,giardino
2311060.5,7.375028610229492,content,Ma
2315073.6,7.187137126922607,function,proprio
2342283.3,6.679656028747559,function,lì
2346605.1,7.927809238433838,function,vede
2384354.7,3.485549211502075,content,l'
2401597.8,5.90057897567749,function,alveare
2418311.7,8.168768882751465,content,di
2422280.7,3.755808353424072,function,Adele
2487636.9,6.452389717102051,content,pieno
2502366.3,2.231418371200561,content,zeppo
2508672.6,4.473426342010498,content,di
2515287.6,7.171073913574219,function,miele
2518859.7,3.8076345920562735,content,Flora
2544217.2,7.724907875061035,content,ha
2553742.8,7.683157444000244,content,già
2586817.8,4.314548492431641,function,l'
2589948.9,5.219489574432373,function,acquolina
2607103.8,6.004096984863281,content,in
2631711.6,4.98137092590332,function,bocca
2638326.6,4.350050449371338,content,e
2669373.0,7.165403842926025,function,senza
2675502.9,8.469337463378906,function,pensarci
2690408.7,6.382180213928223,content,due
2703947.4,5.621059894561768,,volte
2711753.1,8.108734130859375,content,vi
2791221.3,7.242156505584717,function,tuffa
2798586.0,7.020107269287109,content,dentro
