BEGIN,entropy,type_of_words,word
89523.0,6.363897800445557,content,Apocalisse
170226.0,1.479982852935791,content,Cara
182574.0,7.304069995880127,content,Franci
211239.0,8.785273551940918,function,ti
221823.0,6.621041774749756,content,scrivo
237258.0,5.983280181884766,function,per
245196.0,7.790026664733887,content,sapere
258867.0,4.399676322937012,function,come
267687.0,7.878875732421875,content,stai
280917.0,6.846430778503418,function,tu
288414.0,5.35527229309082,function,e
290619.0,5.779260635375977,function,come
300321.0,6.609895706176758,content,stanno
316638.0,7.837742805480957,content,Eris
336042.0,7.722119331359863,function,e
337365.0,9.176457405090332,function,i
340452.0,4.1997575759887695,function,vostri
358092.0,7.481664180755615,content,figli
369117.0,3.056152820587158,content,meravigliosi
434826.0,7.740633964538574,function,E
441882.0,7.126919746398926,function,poi
446733.0,7.294100284576416,function,volevo
460845.0,6.0507330894470215,content,sapere
475398.0,4.160861492156982,function,se
485100.0,7.321639060974121,function,pure
494361.0,7.097582817077637,function,da
500535.0,7.795177459716797,function,voi
509355.0,8.29268741607666,function,in
512442.0,8.602195739746094,content,Australia
539784.0,7.06273889541626,function,è
546399.0,6.566330432891846,content,arrivata
563157.0,2.6367008686065674,function,l'
564480.0,3.324160099029541,content,Apocalisse
640332.0,7.855828762054443,content,Manu
653562.0,6.052299499511719,content,dice
665910.0,3.754183769226074,function,che
668997.0,7.357312202453613,function,non
676935.0,5.733473777770996,function,è
682668.0,6.946090698242188,content,detto
703836.0,4.476471424102783,function,che
706923.0,7.585373401641846,function,sia
716625.0,6.772181510925293,content,arrivata
733824.0,5.340075492858887,function,pure
746172.0,6.276499271392822,function,laggiù
785421.0,4.58480167388916,function,voi
792477.0,7.910661220550537,function,siete
806589.0,8.54237174987793,function,in
810117.0,7.385982513427734,function,un
815850.0,7.044528007507324,content,altro
829962.0,6.139052391052246,content,emisfero
860391.0,5.604828357696533,function,e
862596.0,7.1161208152771,function,che
866124.0,3.6286587715148926,function,l'
869211.0,3.4583842754364014,content,Australia
891702.0,3.82209038734436,function,è
896112.0,7.074288845062256,function,un
899640.0,5.92206335067749,content,Paese
917721.0,7.36143159866333,function,abbastanza
945504.0,8.504737854003906,content,vergine
969318.0,3.856632947921753,function,e
970641.0,8.644742965698242,function,che
976374.0,7.076884746551514,function,la
983430.0,8.735811233520508,content,gente
994455.0,6.516069889068604,function,lì
1003275.0,6.6034770011901855,function,non
1009890.0,6.290497303009033,function,può
1018710.0,7.61451244354248,function,aver
