sentence_id,token_position,token,lemma,pos,dependency_relation,head_token,entity_type
0,0,Un,uno,DET,det,re,O
0,1,re,re,NOUN,nsubj,perduto,O
0,2,aveva,avere,AUX,aux,perduto,O
0,3,perduto,perdere,VERB,root,ROOT,O
0,4,un,uno,DET,det,anello,O
0,5,anello,anello,NOUN,obj,perduto,O
0,6,prezioso,prezioso,ADJ,amod,anello,O
0,7,.,.,PUNCT,punct,perduto,O
1,0,Cerca,cercare,VERB,root,ROOT,O
1,1,qua,qua,ADV,advmod,Cerca,O
1,2,",",",",PUNCT,punct,cerca,O
1,3,cerca,cercare,VERB,conj,Cerca,O
1,4,là,là,ADV,advmod,cerca,O
1,5,",",",",PUNCT,punct,trova,O
1,6,non,non,ADV,advmod,trova,O
1,7,si,si,PRON,expl,trova,O
1,8,trova,trovare,VERB,conj,Cerca,O
1,9,.,.,PUNCT,punct,Cerca,O
2,0,Mise,mettere,VERB,root,ROOT,O
2,1,fuori,fuori,ADV,advmod,Mise,O
2,2,un,uno,DET,det,bando,O
2,3,bando,bando,NOUN,nsubj,Mise,O
2,4,che,che,PRON,nsubj,fa,O
2,5,se,se,SCONJ,mark,sa,O
2,6,un,uno,DET,det,astrologo,O
2,7,astrologo,astrologo,NOUN,nsubj,sa,O
2,8,gli,gli,PRON,iobj,sa,O
2,9,sa,sapere,VERB,advcl,fa,O
2,10,dire,dire,VERB,ccomp,sa,O
2,11,dov',dove,ADV,advmod,è,O
2,12,è,essere,VERB,ccomp,dire,O
2,13,",",",",PUNCT,punct,fa,O
2,14,lo,lo,PRON,obj,fa,O
2,15,fa,fare,VERB,conj,Mise,O
2,16,ricco,ricco,ADJ,xcomp,fa,O
2,17,per,per,ADP,case,vita,O
2,18,tutta,tutto,DET,det:predet,vita,O
2,19,la,il,DET,det,vita,O
2,20,vita,vita,NOUN,obl,fa,O
2,21,.,.,PUNCT,punct,Mise,O
3,0,C',ci,PRON,expl,era,O
3,1,era,essere,VERB,root,ROOT,O
3,2,un,uno,DET,det,contadino,O
3,3,contadino,contadino,NOUN,nsubj,era,O
3,4,senza,senza,ADP,case,soldo,O
3,5,un,uno,DET,det,soldo,O
3,6,soldo,soldo,NOUN,obl,era,O
3,7,",",",",PUNCT,punct,soldo,O
3,8,che,che,PRON,nsubj,sapeva,O
3,9,non,non,ADV,advmod,sapeva,O
3,10,sapeva,sapere,VERB,acl:relcl,soldo,O
3,11,né,né,ADV,advmod,leggere,O
3,12,leggere,leggere,VERB,conj,sapeva,O
3,13,né,né,ADV,advmod,scrivere,O
3,14,scrivere,scrivere,VERB,conj,leggere,O
3,15,",",",",PUNCT,punct,chiamava,O
3,16,e,e,CCONJ,cc,chiamava,O
3,17,si,si,PRON,expl,chiamava,O
3,18,chiamava,chiamare,VERB,conj,era,O
3,19,Gambara,Gambara,PROPN,nsubj,chiamava,O
